nombre,lat,lng,address,barrio,tipo,nivel
Instituto 1,-34.890143,-57.929153,Calle 115 #6019,Parque Saavedra,Instituto,Primaria y Secundaria
Instituto 2,-35.049951,-57.954059,Calle 19 #9707,Abella,Escuela,Primaria y Secundaria
Instituto 3,-34.863499,-58.093366,Calle 12 #5603,Parque Saavedra,Colegio,Primaria
Instituto 4,-34.957334,-57.914281,Calle 24 #7489,Zona Sur,Colegio,Primaria
Instituto 5,-34.978754,-58.015199,Calle 141 #5056,Este,Instituto,Superior
Instituto 6,-34.822483,-58.096511,Calle 23 #8974,Tolosa,Instituto,Superior
Instituto 7,-35.064080,-58.089442,Calle 29 #7446,Gonnet,Colegio,Superior
Instituto 8,-35.037858,-57.894730,Calle 31 #7015,Oeste,Instituto,Primaria y Secundaria
Instituto 9,-35.062320,-57.913896,Calle 37 #7989,Ángel Etcheverry,Colegio,Primaria y Secundaria
Instituto 10,-34.981837,-57.983643,Calle 108 #1302,Ringuelet,Colegio,Superior
Instituto 11,-34.785179,-58.034148,Calle 29 #8153,Ringuelet,Colegio,Primaria
Instituto 12,-34.808214,-58.080024,Calle 16 #6370,Los Hornos,Instituto,Secundaria
Instituto 13,-34.987675,-58.012663,Calle 43 #9820,Barrio Universitario,Instituto,Superior
Instituto 14,-35.056235,-58.010325,Calle 121 #967,Los Hornos,Instituto,Superior
Instituto 15,-34.812362,-58.058441,Calle 21 #4601,Centro,Colegio,Primaria
Instituto 16,-34.830642,-57.906791,Calle 110 #4987,Parque Saavedra,Colegio,Secundaria
Instituto 17,-34.976682,-57.892741,Calle 49 #2328,San Carlos,Instituto,Primaria y Secundaria
Instituto 18,-34.970626,-57.932965,Calle 133 #3857,Centro,Colegio,Primaria
Instituto 19,-35.019549,-57.922876,Calle 127 #8492,Villa Elvira,Escuela,Primaria y Secundaria
Instituto 20,-34.892549,-57.956116,Calle 12 #9045,Gonnet,Instituto,Superior
Instituto 21,-35.062620,-57.835318,Calle 146 #1033,Gonnet,Instituto,Superior
Instituto 22,-34.783084,-57.918029,Calle 83 #8912,Oeste,Escuela,Primaria y Secundaria
Instituto 23,-34.862238,-57.871064,Calle 126 #5606,Abella,Colegio,Primaria y Secundaria
Instituto 24,-34.960830,-57.883216,Calle 88 #5398,Zona Norte,Colegio,Superior
Instituto 25,-34.867697,-57.814332,Calle 35 #4321,Barrio Universitario,Instituto,Superior
Instituto 26,-34.832470,-58.054704,Calle 63 #8385,Nueva República,Escuela,Secundaria
Instituto 27,-35.028992,-57.868602,Calle 106 #8419,Zona Sur,Escuela,Primaria y Secundaria
Instituto 28,-34.828200,-57.908632,Calle 134 #6506,Oeste,Colegio,Primaria
Instituto 29,-34.914222,-57.931052,Calle 134 #305,Parque Saavedra,Escuela,Secundaria
Instituto 30,-35.055640,-57.882075,Calle 150 #9307,Este,Colegio,Primaria y Secundaria
Instituto 31,-34.898333,-57.961372,Calle 32 #575,Parque Saavedra,Colegio,Primaria y Secundaria
Instituto 32,-34.789070,-57.872745,Calle 149 #1955,Zona Norte,Colegio,Primaria
Instituto 33,-35.040215,-57.898857,Calle 38 #4229,Ringuelet,Colegio,Secundaria
Instituto 34,-34.939903,-57.876139,Calle 55 #1277,Parque Saavedra,Colegio,Secundaria
Instituto 35,-35.005322,-57.943502,Calle 59 #4480,Ringuelet,Instituto,Secundaria
Instituto 36,-35.030688,-58.030984,Calle 96 #8200,Ángel Etcheverry,Escuela,Primaria
Instituto 37,-34.830625,-58.068345,Calle 149 #5121,Tolosa,Escuela,Primaria y Secundaria
Instituto 38,-35.017039,-57.844655,Calle 119 #6907,Centro,Colegio,Secundaria
Instituto 39,-34.827213,-57.939850,Calle 75 #3134,Abella,Escuela,Primaria y Secundaria
